id,date,count
27,1/12,1
27,1/13,1
27,1/14,1
27,1/15,1
27,1/16,1
27,1/17,1
27,1/18,1
27,1/19,0
27,1/20,0
27,1/21,0
27,1/22,0
27,1/23,0
27,1/24,0
28,1/05,0
28,1/06,0
28,1/07,0
28,1/08,0
28,1/09,0
28,1/10,0
28,1/11,0
28,1/12,0
28,1/13,0
28,1/14,0
28,1/15,1
28,1/16,1
28,1/17,1
28,1/18,1
28,1/19,1
28,1/20,1
28,1/21,0
28,1/22,0
28,1/23,0
28,1/24,0
29,1/05,2
29,1/06,2
29,1/07,2
29,1/08,3
29,1/09,4
29,1/10,5
29,1/11,6
29,1/12,8
29,1/13,8
29,1/14,8
29,1/15,8
29,1/16,8
29,1/17,8
29,1/18,8
29,1/19,8
29,1/20,8
29,1/21,9
29,1/22,9
29,1/23,10
29,1/24,10
30,1/05,5
30,1/06,7
30,1/07,8
30,1/08,12
30,1/09,12
30,1/10,11
30,1/11,11
30,1/12,14
30,1/13,14
30,1/14,16
30,1/15,13
30,1/16,13
30,1/17,12
30,1/18,12
30,1/19,11
30,1/20,9
30,1/21,8
30,1/22,9
30,1/23,7
30,1/24,6
31,1/05,8
31,1/06,8
31,1/07,9
31,1/08,10
31,1/09,9
31,1/10,11
31,1/11,12
31,1/12,15
31,1/13,17
31,1/14,14
31,1/15,12
31,1/16,11
31,1/17,10
31,1/18,10
31,1/19,10
31,1/20,10
31,1/21,10
31,1/22,9
31,1/23,9
31,1/24,8
32,1/05,2
32,1/06,3
32,1/07,3
32,1/08,4
32,1/09,4
32,1/10,4
32,1/11,4
32,1/12,4
32,1/13,4
32,1/14,6
32,1/15,6
32,1/16,6
32,1/17,6
32,1/18,6
32,1/19,6
32,1/20,6
32,1/21,6
32,1/22,6
32,1/23,6
32,1/24,6
33,1/05,0
33,1/06,0
33,1/07,0
33,1/08,0
33,1/09,0
33,1/10,0
33,1/11,0
33,1/12,0
33,1/13,0
33,1/14,0
33,1/15,0
33,1/16,2
33,1/17,2
33,1/18,2
33,1/19,3
33,1/20,4
33,1/21,5
33,1/22,5
33,1/23,7
33,1/24,9
34,1/05,10
34,1/06,12
34,1/07,14
34,1/08,19
34,1/09,20
34,1/10,18
34,1/11,20
34,1/12,21
34,1/13,25
34,1/14,26
34,1/15,24
34,1/16,23
34,1/17,24
34,1/18,23
34,1/19,23
34,1/20,21
34,1/21,21
34,1/22,21
34,1/23,20
34,1/24,19
35,1/05,16
35,1/06,18
35,1/07,23
35,1/08,29
35,1/09,28
35,1/10,30
35,1/11,31
35,1/12,30
35,1/13,28
35,1/14,24
35,1/15,19
35,1/16,18
35,1/17,17
35,1/18,15
35,1/19,14
35,1/20,12
35,1/21,11
35,1/22,11
35,1/23,11
35,1/24,11
36,1/05,6
36,1/06,8
36,1/07,8
36,1/08,9
36,1/09,10
36,1/10,10
36,1/11,10
36,1/12,12
36,1/13,14
36,1/14,15
36,1/15,16
36,1/16,14
36,1/17,14
36,1/18,14
36,1/19,13
36,1/20,12
36,1/21,11
36,1/22,9
36,1/23,9
36,1/24,9
37,1/05,0
37,1/06,4
37,1/07,7
37,1/08,9
37,1/09,9
37,1/10,12
37,1/11,15
37,1/12,21
37,1/13,18
37,1/14,17
37,1/15,15
37,1/16,14
37,1/17,13
37,1/18,11
37,1/19,11
37,1/20,8
37,1/21,6
37,1/22,5
37,1/23,4
37,1/24,0
38,1/05,18
38,1/06,22
38,1/07,25
38,1/08,30
38,1/09,32
38,1/10,34
38,1/11,36
38,1/12,40
38,1/13,42
38,1/14,36
38,1/15,34
38,1/16,30
38,1/17,26
38,1/18,25
38,1/19,23
38,1/20,23
38,1/21,22
38,1/22,22
38,1/23,24
38,1/24,21
39,1/05,7
39,1/06,8
39,1/07,9
39,1/08,10
39,1/09,11
39,1/10,14
39,1/11,14
39,1/12,16
39,1/13,16
39,1/14,15
39,1/15,16
39,1/16,15
39,1/17,16
39,1/18,15
39,1/19,12
39,1/20,12
39,1/21,12
39,1/22,11
39,1/23,10
39,1/24,9
40,1/05,7
40,1/06,8
40,1/07,8
40,1/08,9
40,1/09,12
40,1/10,13
40,1/11,13
40,1/12,14
40,1/13,15
40,1/14,15
40,1/15,15
40,1/16,17
40,1/17,17
40,1/18,17
40,1/19,17
40,1/20,17
40,1/21,15
40,1/22,15
40,1/23,15
40,1/24,13
41,1/05,6
41,1/06,8
41,1/07,8
41,1/08,8
41,1/09,8
41,1/10,9
41,1/11,10
41,1/12,11
41,1/13,12
41,1/14,13
41,1/15,8
41,1/16,7
41,1/17,6
41,1/18,6
41,1/19,5
41,1/20,4
41,1/21,4
41,1/22,3
41,1/23,2
41,1/24,1
42,1/05,3
42,1/06,6
42,1/07,7
42,1/08,12
42,1/09,12
42,1/10,11
42,1/11,12
42,1/12,13
42,1/13,13
42,1/14,13
42,1/15,12
42,1/16,11
42,1/17,10
42,1/18,10
42,1/19,10
42,1/20,10
42,1/21,10
42,1/22,10
42,1/23,11
42,1/24,11
43,1/05,0
43,1/06,0
43,1/07,0
43,1/08,0
43,1/09,0
43,1/10,0
43,1/11,0
43,1/12,0
43,1/13,0
43,1/14,0
43,1/15,0
43,1/16,0
43,1/17,0
43,1/18,0
43,1/19,0
43,1/20,0
43,1/21,0
43,1/22,0
43,1/23,0
43,1/24,1
44,1/05,1
44,1/06,1
44,1/07,1
44,1/08,2
44,1/09,2
44,1/10,3
44,1/11,3
44,1/12,3
44,1/13,5
44,1/14,6
44,1/15,6
44,1/16,6
44,1/17,6
44,1/18,6
44,1/19,6
44,1/20,6
44,1/21,6
44,1/22,7
44,1/23,7
44,1/24,9
45,1/05,15
45,1/06,16
45,1/07,17
45,1/08,14
45,1/09,14
45,1/10,30
45,1/11,26
45,1/12,26
45,1/13,24
45,1/14,21
45,1/15,21
45,1/16,20
45,1/17,20
45,1/18,20
45,1/19,18
45,1/20,18
45,1/21,14
45,1/22,14
45,1/23,14
45,1/24,14
46,1/05,12
46,1/06,13
46,1/07,14
46,1/08,15
46,1/09,15
46,1/10,27
46,1/11,22
46,1/12,19
46,1/13,13
46,1/14,13
46,1/15,11
46,1/16,11
46,1/17,10
46,1/18,11
46,1/19,11
46,1/20,11
46,1/21,11
46,1/22,11
46,1/23,11
46,1/24,11
47,1/05,14
47,1/06,15
47,1/07,15
47,1/08,20
47,1/09,23
47,1/10,27
47,1/11,28
47,1/12,34
47,1/13,33
47,1/14,29
47,1/15,25
47,1/16,24
47,1/17,23
47,1/18,22
47,1/19,21
47,1/20,21
47,1/21,19
47,1/22,18
47,1/23,17
47,1/24,16
48,1/05,4
48,1/06,4
48,1/07,4
48,1/08,7
48,1/09,12
48,1/10,13
48,1/11,14
48,1/12,19
48,1/13,18
48,1/14,20
48,1/15,20
48,1/16,20
48,1/17,18
48,1/18,18
48,1/19,17
48,1/20,16
48,1/21,17
48,1/22,17
48,1/23,18
48,1/24,18
49,1/05,8
49,1/06,9
49,1/07,9
49,1/08,14
49,1/09,15
49,1/10,15
49,1/11,18
49,1/12,26
49,1/13,36
49,1/14,44
49,1/15,35
49,1/16,31
49,1/17,25
49,1/18,26
49,1/19,25
49,1/20,21
49,1/21,19
49,1/22,14
49,1/23,13
49,1/24,13
51,1/05,18
51,1/06,19
51,1/07,22
51,1/08,30
51,1/09,30
51,1/10,37
51,1/11,46
51,1/12,58
51,1/13,57
51,1/14,56
51,1/15,51
51,1/16,50
51,1/17,46
51,1/18,37
51,1/19,31
51,1/20,24
51,1/21,19
51,1/22,17
51,1/23,16
51,1/24,16
52,1/05,11
52,1/06,11
52,1/07,11
52,1/08,11
52,1/09,12
52,1/10,13
52,1/11,13
52,1/12,19
52,1/13,18
52,1/14,20
52,1/15,19
52,1/16,19
52,1/17,19
52,1/18,18
52,1/19,17
52,1/20,17
52,1/21,19
52,1/22,18
52,1/23,18
52,1/24,17
53,1/05,5
53,1/06,8
53,1/07,7
53,1/08,8
53,1/09,10
53,1/10,11
53,1/11,13
53,1/12,16
53,1/13,17
53,1/14,17
53,1/15,16
53,1/16,16
53,1/17,15
53,1/18,15
53,1/19,15
53,1/20,15
53,1/21,13
53,1/22,11
53,1/23,11
53,1/24,10
54,1/05,15
54,1/06,17
54,1/07,17
54,1/08,18
54,1/09,23
54,1/10,25
54,1/11,27
54,1/12,35
54,1/13,38
54,1/14,38
54,1/15,31
54,1/16,25
54,1/17,24
54,1/18,23
54,1/19,21
54,1/20,18
54,1/21,18
54,1/22,17
54,1/23,16
54,1/24,16
55,1/05,33
55,1/06,36
55,1/07,41
55,1/08,64
55,1/09,67
55,1/10,78
55,1/11,87
55,1/12,121
55,1/13,135
55,1/14,140
55,1/15,137
55,1/16,136
55,1/17,129
55,1/18,122
55,1/19,119
55,1/20,110
55,1/21,99
55,1/22,89
55,1/23,84
55,1/24,82
56,1/05,7
56,1/06,8
56,1/07,8
56,1/08,13
56,1/09,20
56,1/10,21
56,1/11,20
56,1/12,31
56,1/13,34
56,1/14,32
56,1/15,28
56,1/16,25
56,1/17,21
56,1/18,19
56,1/19,19
56,1/20,20
56,1/21,20
56,1/22,17
56,1/23,16
56,1/24,16
57,1/05,6
57,1/06,6
57,1/07,6
57,1/08,7
57,1/09,9
57,1/10,9
57,1/11,8
57,1/12,12
57,1/13,12
57,1/14,12
57,1/15,14
57,1/16,11
57,1/17,10
57,1/18,11
57,1/19,11
57,1/20,11
57,1/21,11
57,1/22,11
57,1/23,10
57,1/24,10
58,1/05,0
58,1/06,0
58,1/07,1
58,1/08,5
58,1/09,6
58,1/10,7
58,1/11,14
58,1/12,20
58,1/13,23
58,1/14,32
58,1/15,34
58,1/16,38
58,1/17,39
58,1/18,39
58,1/19,39
58,1/20,41
58,1/21,33
58,1/22,32
58,1/23,34
58,1/24,34
59,1/05,5
59,1/06,8
59,1/07,11
59,1/08,19
59,1/09,26
59,1/10,32
59,1/11,32
59,1/12,43
59,1/13,44
59,1/14,47
59,1/15,45
59,1/16,45
59,1/17,45
59,1/18,45
59,1/19,45
59,1/20,41
59,1/21,38
59,1/22,37
59,1/23,33
59,1/24,29
60,1/05,2
60,1/06,2
60,1/07,2
60,1/08,1
60,1/09,1
60,1/10,2
60,1/11,2
60,1/12,6
60,1/13,6
60,1/14,7
60,1/15,7
60,1/16,9
60,1/17,9
60,1/18,10
60,1/19,12
60,1/20,10
60,1/21,9
60,1/22,8
60,1/23,7
60,1/24,8
61,1/05,14
61,1/06,15
61,1/07,16
61,1/08,18
61,1/09,21
61,1/10,25
61,1/11,27
61,1/12,31
61,1/13,33
61,1/14,35
61,1/15,35
61,1/16,33
61,1/17,30
61,1/18,29
61,1/19,29
61,1/20,25
61,1/21,20
61,1/22,16
61,1/23,15
61,1/24,14
63,1/05,12
63,1/06,13
63,1/07,13
63,1/08,14
63,1/09,13
63,1/10,14
63,1/11,14
63,1/12,10
63,1/13,8
63,1/14,6
63,1/15,6
63,1/16,3
63,1/17,2
63,1/18,2
63,1/19,1
63,1/20,1
63,1/21,1
63,1/22,1
63,1/23,0
63,1/24,0
65,1/05,2
65,1/06,2
65,1/07,3
65,1/08,5
65,1/09,3
65,1/10,5
65,1/11,7
65,1/12,8
65,1/13,9
65,1/14,7
65,1/15,7
65,1/16,7
65,1/17,7
65,1/18,7
65,1/19,7
65,1/20,7
65,1/21,7
65,1/22,7
65,1/23,7
65,1/24,6
66,1/05,0
66,1/06,1
66,1/07,1
66,1/08,3
66,1/09,3
66,1/10,4
66,1/11,4
66,1/12,4
66,1/13,4
66,1/14,4
66,1/15,5
66,1/16,5
66,1/17,5
66,1/18,5
66,1/19,5
66,1/20,5
66,1/21,5
66,1/22,5
66,1/23,5
66,1/24,6
67,1/05,4
67,1/06,4
67,1/07,5
67,1/08,8
67,1/09,8
67,1/10,8
67,1/11,8
67,1/12,6
67,1/13,9
67,1/14,10
67,1/15,9
67,1/16,9
67,1/17,9
67,1/18,8
67,1/19,8
67,1/20,8
67,1/21,8
67,1/22,8
67,1/23,9
67,1/24,8
68,1/05,2
68,1/06,2
68,1/07,2
68,1/08,2
68,1/09,2
68,1/10,2
68,1/11,2
68,1/12,3
68,1/13,4
68,1/14,3
68,1/15,3
68,1/16,3
68,1/17,3
68,1/18,3
68,1/19,3
68,1/20,3
68,1/21,3
68,1/22,3
68,1/23,3
68,1/24,3
69,1/05,17
69,1/06,19
69,1/07,19
69,1/08,20
69,1/09,21
69,1/10,33
69,1/11,29
69,1/12,21
69,1/13,17
69,1/14,15
69,1/15,14
69,1/16,13
69,1/17,12
69,1/18,11
69,1/19,11
69,1/20,10
69,1/21,9
69,1/22,9
69,1/23,9
69,1/24,8
70,1/05,12
70,1/06,14
70,1/07,15
70,1/08,13
70,1/09,15
70,1/10,27
70,1/11,24
70,1/12,22
70,1/13,20
70,1/14,18
70,1/15,17
70,1/16,19
70,1/17,19
70,1/18,19
70,1/19,18
70,1/20,17
70,1/21,17
70,1/22,17
70,1/23,17
70,1/24,17
72,1/05,68
72,1/06,80
72,1/07,86
72,1/08,115
72,1/09,131
72,1/10,154
72,1/11,167
72,1/12,267
72,1/13,315
72,1/14,335
72,1/15,361
72,1/16,367
72,1/17,364
72,1/18,362
72,1/19,357
72,1/20,347
72,1/21,324
72,1/22,302
72,1/23,290
72,1/24,280
73,1/05,23
73,1/06,26
73,1/07,32
73,1/08,54
73,1/09,63
73,1/10,71
73,1/11,79
73,1/12,93
73,1/13,95
73,1/14,96
73,1/15,71
73,1/16,66
73,1/17,49
73,1/18,45
73,1/19,42
73,1/20,35
73,1/21,27
73,1/22,22
73,1/23,20
73,1/24,19
74,1/05,38
74,1/06,43
74,1/07,50
74,1/08,69
74,1/09,77
74,1/10,90
74,1/11,97
74,1/12,142
74,1/13,171
74,1/14,174
74,1/15,164
74,1/16,167
74,1/17,161
74,1/18,157
74,1/19,155
74,1/20,139
74,1/21,124
74,1/22,108
74,1/23,101
74,1/24,99
75,1/05,55
75,1/06,60
75,1/07,68
75,1/08,88
75,1/09,105
75,1/10,131
75,1/11,142
75,1/12,234
75,1/13,261
75,1/14,309
75,1/15,319
75,1/16,334
75,1/17,327
75,1/18,322
75,1/19,323
75,1/20,312
75,1/21,290
75,1/22,265
75,1/23,249
75,1/24,244
79,1/05,11
79,1/06,10
79,1/07,10
79,1/08,9
79,1/09,12
79,1/10,12
79,1/11,11
79,1/12,7
79,1/13,7
79,1/14,4
79,1/15,2
79,1/16,1
79,1/17,0
79,1/18,0
79,1/19,0
79,1/20,0
79,1/21,0
79,1/22,0
79,1/23,0
79,1/24,0
80,1/05,3
80,1/06,4
80,1/07,5
80,1/08,7
80,1/09,8
80,1/10,9
80,1/11,11
80,1/12,17
80,1/13,15
80,1/14,14
80,1/15,14
80,1/16,14
80,1/17,14
80,1/18,12
80,1/19,11
80,1/20,11
80,1/21,11
80,1/22,10
80,1/23,10
80,1/24,10
81,1/05,8
81,1/06,7
81,1/07,7
81,1/08,7
81,1/09,8
81,1/10,11
81,1/11,14
81,1/12,16
81,1/13,15
81,1/14,15
81,1/15,11
81,1/16,9
81,1/17,8
81,1/18,8
81,1/19,10
81,1/20,11
81,1/21,11
81,1/22,9
81,1/23,8
81,1/24,8
83,1/05,4
83,1/06,8
83,1/07,11
83,1/08,11
83,1/09,10
83,1/10,12
83,1/11,13
83,1/12,19
83,1/13,22
83,1/14,26
83,1/15,21
83,1/16,21
83,1/17,20
83,1/18,20
83,1/19,22
83,1/20,19
83,1/21,16
83,1/22,16
83,1/23,15
83,1/24,15
84,1/05,1
84,1/06,1
84,1/07,0
84,1/08,0
84,1/09,0
84,1/10,0
84,1/11,0
84,1/12,0
84,1/13,0
84,1/14,0
84,1/15,0
84,1/16,0
84,1/17,0
84,1/18,0
84,1/19,0
84,1/20,0
84,1/21,0
84,1/22,0
84,1/23,0
84,1/24,0
85,1/05,15
85,1/06,16
85,1/07,16
85,1/08,19
85,1/09,25
85,1/10,29
85,1/11,32
85,1/12,42
85,1/13,41
85,1/14,46
85,1/15,30
85,1/16,22
85,1/17,21
85,1/18,20
85,1/19,19
85,1/20,15
85,1/21,17
85,1/22,14
85,1/23,13
85,1/24,13
86,1/05,17
86,1/06,17
86,1/07,17
86,1/08,19
86,1/09,25
86,1/10,32
86,1/11,35
86,1/12,51
86,1/13,54
86,1/14,47
86,1/15,45
86,1/16,36
86,1/17,30
86,1/18,29
86,1/19,27
86,1/20,20
86,1/21,15
86,1/22,14
86,1/23,14
86,1/24,14
87,1/05,2
87,1/06,1
87,1/07,1
87,1/08,1
87,1/09,1
87,1/10,1
87,1/11,1
87,1/12,1
87,1/13,0
87,1/14,0
87,1/15,0
87,1/16,0
87,1/17,0
87,1/18,0
87,1/19,0
87,1/20,0
87,1/21,0
87,1/22,0
87,1/23,0
87,1/24,0
88,1/05,26
88,1/06,27
88,1/07,28
88,1/08,36
88,1/09,36
88,1/10,49
88,1/11,53
88,1/12,67
88,1/13,69
88,1/14,73
88,1/15,72
88,1/16,54
88,1/17,37
88,1/18,35
88,1/19,32
88,1/20,26
88,1/21,25
88,1/22,24
88,1/23,25
88,1/24,25
89,1/05,10
89,1/06,10
89,1/07,11
89,1/08,13
89,1/09,12
89,1/10,14
89,1/11,15
89,1/12,22
89,1/13,20
89,1/14,14
89,1/15,16
89,1/16,17
89,1/17,15
89,1/18,13
89,1/19,11
89,1/20,10
89,1/21,7
89,1/22,6
89,1/23,6
89,1/24,6
92,1/05,14
92,1/06,15
92,1/07,13
92,1/08,16
92,1/09,20
92,1/10,18
92,1/11,18
92,1/12,22
92,1/13,21
92,1/14,24
92,1/15,25
92,1/16,21
92,1/17,17
92,1/18,17
92,1/19,17
92,1/20,17
92,1/21,14
92,1/22,13
92,1/23,11
92,1/24,11
94,1/05,23
94,1/06,23
94,1/07,27
94,1/08,32
94,1/09,32
94,1/10,38
94,1/11,42
94,1/12,49
94,1/13,49
94,1/14,48
94,1/15,38
94,1/16,29
94,1/17,29
94,1/18,29
94,1/19,26
94,1/20,24
94,1/21,24
94,1/22,21
94,1/23,18
94,1/24,18
96,1/05,11
96,1/06,14
96,1/07,13
96,1/08,12
96,1/09,11
96,1/10,13
96,1/11,17
96,1/12,23
96,1/13,20
96,1/14,17
96,1/15,15
96,1/16,14
96,1/17,12
96,1/18,12
96,1/19,11
96,1/20,12
96,1/21,11
96,1/22,11
96,1/23,11
96,1/24,11
97,1/05,7
97,1/06,6
97,1/07,7
97,1/08,6
97,1/09,5
97,1/10,5
97,1/11,5
97,1/12,5
97,1/13,4
97,1/14,4
97,1/15,7
97,1/16,7
97,1/17,5
97,1/18,3
97,1/19,5
97,1/20,5
97,1/21,8
97,1/22,7
97,1/23,6
97,1/24,6
98,1/05,1
98,1/06,2
98,1/07,2
98,1/08,2
98,1/09,3
98,1/10,4
98,1/11,6
98,1/12,7
98,1/13,8
98,1/14,8
98,1/15,8
98,1/16,8
98,1/17,9
98,1/18,9
98,1/19,9
98,1/20,9
98,1/21,9
98,1/22,9
98,1/23,8
98,1/24,8
99,1/05,4
99,1/06,3
99,1/07,3
99,1/08,4
99,1/09,5
99,1/10,9
99,1/11,12
99,1/12,10
99,1/13,11
99,1/14,9
99,1/15,9
99,1/16,8
99,1/17,8
99,1/18,7
99,1/19,7
99,1/20,7
99,1/21,6
99,1/22,6
99,1/23,6
99,1/24,6
100,1/05,1
100,1/06,1
100,1/07,1
100,1/08,1
100,1/09,1
100,1/10,1
100,1/11,1
100,1/12,2
