id,code,name
260,ARCH 3229,Urban History of Amazonia
261,ARCH 324,City Before & After Tubewell
261,SAST 384,City Before & After Tubewell
261,URBN 324,City Before & After Tubewell
262,ARCH 3252,"Landscape, Film, Architecture"
262,FILM 344,"Landscape, Film, Architecture"
262,GMAN 344,"Landscape, Film, Architecture"
263,ARCH 3256,Renaissance & Modern II
264,ARCH 3267,Semiotics
264,FILM 833,Semiotics
265,ARCH 3272,Exhibitionis PoliticsofDisplay
265,WGSS 527,Exhibitionis PoliticsofDisplay
266,ARCH 3283,After the Modern Movement
267,ARCH 3292,Arch. His/Theory Anthropocene
268,ARCH 3293,The Polych. Reconst. of Arch.
269,ARCH 330,"Creativity, Innov & ""The New"""
270,ARCH 3300,Avant-Garde: M.Tafuri's Sphere
271,ARCH 3301,NY Incubator: Four Urbn Thnkrs
272,ARCH 341,Globalization Space
272,ARCH 4216,Globalization Space
272,F&ES 782,Globalization Space
272,GLBL 253,Globalization Space
272,LAST 318,Globalization Space
272,URBN 341,Globalization Space
273,ARCH 360,Urban Lab: An Urban World
273,URBN 360,Urban Lab: An Urban World
274,ARCH 380,The Global Museum
274,HSAR 437,The Global Museum
274,MMES 382,The Global Museum
275,ARCH 4220,Port City: Urban Form Trans.
276,ARCH 4221,Intro to Comm'l Real Estate
277,ARCH 4223,History of British Landscape
278,ARCH 4233,Ghost Towns
279,ARCH 4243,Case Studies in Urban Design
280,ARCH 4244,Cartographies of ClimateChange
281,ARCH 471,Individual Tutorial
282,ARCH 491,Senior Project
282,URBN 491,Senior Project
283,ARCH 494,Senior Project Design Studio
284,ARCH 552,Ph.D. Seminar II
285,ARCH 554,Ph.D. Dissertation Preparation
286,ARCH 555,PhD Independent Course Work
287,ARCH 559,Ph.D. Seminar: CEA
288,ARMN 451,Classical Armenian II
288,ARMN 681,Classical Armenian II
289,ART 007,Art of the Game
290,ART 012,On Activism
291,ART 014,Research in the Making
292,ART 110,Sculpture Basics
293,ART 111,Visual Thinking
