id,code,name
587,ENAS 951,Wireless Technologies
588,CPSC 464,Topics in Foundations of ML
588,CPSC 564,Topics in Foundations of ML
589,CPSC 468,Computational Complexity
589,CPSC 568,Computational Complexity
590,CPSC 470,Artificial Intelligence
590,CPSC 570,Artificial Intelligence
591,CPSC 473,Intelligent Robotics Lab
591,CPSC 573,Intelligent Robotics Lab
592,CPSC 477,Natural Language Processing
592,CPSC 577,Natural Language Processing
593,CPSC 478,Computer Graphics
593,CPSC 578,Computer Graphics
594,CPSC 490,Senior Project
596,CPSC 674,Adv Comp Intel for Games
597,CPSC 690,Independent Project I
598,CPSC 691,Independent Project II
599,CPSC 692,Independent Project
601,CPSC 767,Topics: Cryptography&Security
602,CPSC 800,Directed Readings
603,CSBF 310,Cocktail Culture
604,CSBK 310,Speechwriting
605,CSBR 310,Trials of the Century
606,CSDC 310,Mastering Art of Watercolor
607,CSDC 311,Social Justice & Violence
608,CSEC 491,Senior Project
609,CSES 310,"Good Food, Real World"
610,CSGH 310,Contemporary Novel Writing
611,CSJE 310,Free Speech Then and Now
612,CSMC 310,The Art of Storytelling
613,CSMY 310,Power & Organizing in the City
614,CSPC 310,Teaching the Constitution
615,CSSM 310,Letters from the Homefront
616,CSSY 310,Making Criminals
617,CSTC 310,Environmental Challenges
618,CSTD 310,SocialCriticalthinking
619,CSYC 310,Art of the Printed Word
620,CSYC 311,RealEstate in Economy &Society
621,CSYC 312,Sustainable Food & Agriculture
622,CZEC 120,Elementary Czech II
623,CZEC 140,Advanced Czech
624,CZEC 301,MilanKundera:Novelist&ThinkrTR
624,LITR 220,MilanKundera:Novelist&ThinkrTR
624,RSEE 300,MilanKundera:Novelist&ThinkrTR
